Hourly Slot,Count
0,66091
1,49900
2,34869
3,24356
4,21575
5,16770
6,22896
7,40171
8,58716
9,60246
10,55371
11,56615
12,57832
13,58310
14,67355
15,74096
16,78908
17,85783
18,94628
19,89682
20,68142
21,71992
22,74337
23,76085
